tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
53849,HC-C-C6,Helcom COMBINE Manual - Part C Annex C6,171,REFSK,2006-10-23,2006-10-23,False
53847,HC-C-C7,Helcom COMBINE Manual - Part C Annex C7,171,REFSK,2006-10-23,2006-10-23,False
53850,HC-C-C8,Helcom COMBINE Manual - Part C Annex C8,171,REFSK,2006-10-23,2006-10-23,False
53851,HC-C-C9,Helcom COMBINE Manual - Part C Annex C9,171,REFSK,2006-10-23,2006-10-23,False
53848,HC-D,Helcom COMBINE Manual - Part D,171,REFSK,2006-10-23,2006-10-23,False
197387,HC-EF-IMP:2016,HELCOM Guidelines for monitoring of biological effects - imposex and intersex (2016),171,REFSK,2018-09-10,2018-09-10,False
120835,ISO10382:2002,ISO standard 10382:2002 Soil quality - Determination of organochlorine pesticides and polychlorinated biphenyls- Gas- chromatographic method with electron capture detection,171,REFSK,2006-10-23,2020-08-26,False
132396,ISO11047:1998,ISO standard 11047:1998 Soil quality - Determination of cadmium, chromium, cobalt, copper, lead, manganese, nickel and zinc - Flame and electrothermal atomic absorption spectrometric methods,171,REFSK,2010-07-07,2010-07-07,False
154815,ISO11264:2005,ISO standard 11264:2005 Soil quality - Determination of herbicides,171,REFSK,2015-08-04,2015-08-04,False
136457,ISO11352:2012,ISO standard 11352:2012 Water quality - Estimation of measurement uncertainty based on validation and quality control data,171,REFSK,2012-12-12,2012-12-12,False
132401,ISO11885:2007,ISO standard 11885:2007 Water quality - Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-OES),171,REFSK,2010-07-13,2010-07-13,False
154813,ISO12846:2012,ISO standard 12846:2012 Water quality - Determination of mercury - Method using atomic absorption spectrometry (AAS) with and without enrichment (ISO 12846:2012),171,REFSK,2015-08-03,2020-08-26,False
201430,ISO13859:2014,ISO standard 13859:2014 Soil quality - Determination of PAHs by Gas Chromatography and High Performance Liquid Chromatograph,171,REFSK,2019-08-27,2019-08-27,False
154814,ISO13877:1998,ISO standard 13877:1998 Soil quality - Determination of polynuclear aromatic hydrocarbons,171,REFSK,2015-08-04,2015-08-04,False
154816,ISO15009:2012,ISO standard 15009:2012 Soil quality - Gas chromatographic determination of the content of volatile aromatic hydrocarbons, naphthalene and volatile halogenated hydrocarbons,171,REFSK,2015-08-04,2015-08-04,False
